Name,posX,posY,posZ,minAABBx,minAABBy,minAABBz,maxAABBx,maxAABBy,maxAABBz,scaleX,scaleY,scaleZ,rotateAngle
Wall,-117.498,-10,-464.146,-4,10,-32,4,100,32,4,4,4,90
Wall,-117.498,-10,-402.463,-4,10,-32,4,100,32,4,4,4,90
Wall,-117.498,-10,-340.053,-4,10,-32,4,100,32,4,4,4,90
Wall,-117.498,-10,-290.28,-4,10,-32,4,100,32,4,4,4,90
Wall,-117.498,-10,-241.652,-4,10,-32,4,100,32,4,4,4,90
Wall,-117.498,-10,-179.704,-4,10,-32,4,100,32,4,4,4,90
Wall,28.3641,-10,-469.218,-4,10,-32,4,100,32,4,4,4,90
Wall,28.3641,-10,-407.146,-4,10,-32,4,100,32,4,4,4,90
Wall,28.3641,-10,-349.906,-4,10,-32,4,100,32,4,4,4,90
Wall,28.3641,-10,-287.835,-4,10,-32,4,100,32,4,4,4,90
Wall,28.3641,-10,-230.046,-4,10,-32,4,100,32,4,4,4,90
Wall,28.3641,-10,-169.916,-4,10,-32,4,100,32,4,4,4,90
Wall,60.1182,-10,-169.916,-32,-10,-4,32,100,4,4,4,4,0
Wall,123.162,-10,-169.916,-32,-10,-4,32,100,4,4,4,4,0
Wall,185.006,-10,-169.916,-32,-10,-4,32,100,4,4,4,4,0
Wall,242.654,-10,-169.916,-32,-10,-4,32,100,4,4,4,4,0
Wall,305.674,-10,-169.916,-32,-10,-4,32,100,4,4,4,4,0
Wall,366.321,-10,-169.916,-32,-10,-4,32,100,4,4,4,4,0
Wall,427.102,-10,-169.916,-32,-10,-4,32,100,4,4,4,4,0
Wall,415.853,-10,-38.9876,-32,-10,-4,32,100,4,4,4,4,0
Wall,353.257,-10,-38.9876,-32,-10,-4,32,100,4,4,4,4,0
Wall,301.011,-10,-38.9876,-32,-10,-4,32,100,4,4,4,4,0
Wall,249.562,-10,-38.9876,-32,-10,-4,32,100,4,4,4,4,0
Wall,191.834,-10,-38.9876,-32,-10,-4,32,100,4,4,4,4,0
Wall,144.345,-10,-38.9876,-32,-10,-4,32,100,4,4,4,4,0
Wall,112.904,-10,-38.9876,-4,10,-32,4,100,32,4,4,4,90
Wall,113.066,-10,59.0302,-4,10,-32,4,100,32,4,4,4,90
Wall,112.748,-10,118.746,-4,10,-32,4,100,32,4,4,4,90
Wall,112.748,-10,173.675,-4,10,-32,4,100,32,4,4,4,90
Wall,112.748,-10,237.75,-4,10,-32,4,100,32,4,4,4,90
Wall,112.748,-10,291.952,-4,10,-32,4,100,32,4,4,4,90
Wall,112.748,-10,341.634,-4,10,-32,4,100,32,4,4,4,90
Wall,112.748,-10,402.817,-4,10,-32,4,100,32,4,4,4,90
Wall,-3.14098,-10,430.057,-4,10,-32,4,100,32,4,4,4,90
Wall,-3.14098,-10,371.013,-4,10,-32,4,100,32,4,4,4,90
Wall,-3.14098,-10,321.904,-4,10,-32,4,100,32,4,4,4,90
Wall,-3.14098,-10,264.989,-4,10,-32,4,100,32,4,4,4,90
Wall,-3.14098,-10,221.238,-4,10,-32,4,100,32,4,4,4,90
Wall,-3.14098,-10,180.24,-4,10,-32,4,100,32,4,4,4,90
Wall,-3.14098,-10,138.843,-4,10,-32,4,100,32,4,4,4,90
Wall,-3.14098,-10,92.3286,-4,10,-32,4,100,32,4,4,4,90
Wall,-3.14098,-10,36.9376,-4,10,-32,4,100,32,4,4,4,90
Statue,15.608,-10,-141.698,-4,0,-4,4,4,4,4,4,4,270
Statue,-109.402,-10,-159.344,-4,0,-4,4,4,4,4,4,4,90
Wall,-45.4243,-10,0.00410843,-32,-10,-4,32,100,4,4,4,4,180
Wall,-109.15,-10,0.00410843,-32,-10,-4,32,100,4,4,4,4,180
Wall,-170.004,-10,0.00410843,-32,-10,-4,32,100,4,4,4,4,180
Wall,-233.915,-10,0.00410843,-32,-10,-4,32,100,4,4,4,4,180
Wall,-298.013,-10,0.00410843,-32,-10,-4,32,100,4,4,4,4,180
Wall,-362.426,-10,0.00410843,-32,-10,-4,32,100,4,4,4,4,180
Wall,-423.966,-10,0.00410843,-32,-10,-4,32,100,4,4,4,4,180
Wall,-414.765,-10,-76.31,-32,-10,-4,32,100,4,4,4,4,180
Wall,-365.994,-10,-76.31,-32,-10,-4,32,100,4,4,4,4,180
Wall,-312.385,-10,-76.31,-32,-10,-4,32,100,4,4,4,4,180
Wall,-252.559,-10,-76.31,-32,-10,-4,32,100,4,4,4,4,180
Wall,-190.943,-10,-76.31,-32,-10,-4,32,100,4,4,4,4,180
Wall,-128.73,-10,-76.31,-32,-10,-4,32,100,4,4,4,4,180
Wall,-117.592,-10,-130.554,-4,10,-32,4,100,32,4,4,4,90
Wall,-117.592,-10,-107.754,-4,10,-32,4,100,32,4,4,4,90
Wall,112.78,-10,12.3816,-4,10,-32,4,100,32,4,4,4,90
Wall,-18.3835,-10,0.00410843,-32,-10,-4,32,100,4,4,4,4,0
Wall,-3.14098,-10,31.6793,-4,10,-32,4,100,32,4,4,4,90
